Q1(S),Q2(A),Q3(D),Q4(A),Q5(D),Q6(S),Q7(A),Q8(S),Q9(A),Q10(D),Q11(S),Q12(S),Q13(D),Q14(S),Q15(A),Q16(D),Q17(D),Q18(S),Q19(A),Q20(A),Q21(D),TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,education,urban,gender,age,familysize,Str,Anx,Dep,Depression,Anxiety,Stress,family,family_enc,age class,age_enc
0,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,2,2,0,0,7,4,7,5,7,2,6,3,6,2,3,3,2,42,2,6,12,2,0,2,0,Nuclear,2,36-45,2
1,0,0,0,1,2,1,1,1,1,1,1,1,2,1,2,0,1,0,1,1,7,5,4,5,6,3,6,7,3,3,2,2,2,20,3,18,8,12,1,1,1,Nuclear,2,18-25,0
1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,6,4,6,3,5,5,3,2,6,3,3,3,1,44,2,8,0,4,0,0,0,Nuclear,2,36-45,2
1,3,0,0,2,2,0,1,0,1,1,1,2,1,0,1,1,1,1,1,0,5,5,5,5,6,5,5,4,3,3,2,2,2,32,4,16,10,14,2,2,1,Nuclear,2,26-35,1
2,3,2,1,2,2,0,1,1,2,3,2,1,2,1,2,2,2,1,0,1,6,0,4,5,5,2,7,2,4,2,3,1,2,19,2,28,14,24,3,2,3,Nuclear,2,18-25,0
3,2,3,3,3,1,2,3,2,3,3,3,3,2,3,3,3,2,3,3,3,1,4,7,7,5,5,6,3,1,1,2,3,2,36,2,34,36,42,4,4,4,Nuclear,2,36-45,2
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,6,6,1,6,5,4,3,7,6,2,2,1,20,3,2,2,2,0,0,0,Nuclear,2,18-25,0
2,0,3,0,2,3,0,3,3,3,3,3,3,2,2,3,3,1,0,2,0,1,6,4,7,5,7,6,5,1,3,4,2,2,27,1,34,14,34,4,2,4,Nuclear,2,26-35,1
1,3,3,3,3,0,3,2,2,3,0,3,3,2,2,3,3,1,3,0,3,1,5,5,5,5,7,1,3,6,7,4,3,1,24,2,18,32,42,4,4,1,Nuclear,2,18-25,0
1,0,2,0,1,2,1,2,2,1,1,1,1,1,2,0,2,0,1,2,1,5,6,5,6,6,6,6,3,3,2,3,3,2,23,2,16,16,16,2,3,1,Nuclear,2,18-25,0
2,1,1,1,3,1,1,2,1,2,2,3,2,2,0,1,2,2,2,3,3,2,6,5,6,5,7,5,3,3,5,3,3,2,27,2,28,18,28,4,3,3,Nuclear,2,26-35,1
1,2,3,0,1,3,0,1,0,1,3,0,1,2,2,3,1,2,0,1,1,1,7,7,7,5,7,5,2,2,2,2,3,2,19,2,24,10,22,3,2,2,Nuclear,2,18-25,0
1,3,1,1,1,1,2,1,1,2,2,2,1,3,1,2,1,2,0,1,1,1,7,5,6,5,1,7,5,2,5,3,1,2,35,1,24,18,18,2,3,2,Nuclear,2,26-35,1
0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,5,5,3,4,6,4,6,5,6,2,2,3,2,46,2,8,0,4,0,0,0,Nuclear,2,46-60,3
2,0,2,0,2,3,0,3,2,1,1,3,3,1,1,2,2,1,1,3,1,6,3,7,5,7,3,6,1,6,2,3,1,1,21,2,28,14,26,3,2,3,Nuclear,2,18-25,0
1,2,0,0,3,1,0,0,1,0,0,0,0,3,0,1,0,2,1,0,2,2,5,4,4,3,6,4,5,6,2,2,3,1,22,2,14,8,12,1,1,0,Nuclear,2,18-25,0
2,1,0,1,1,2,0,2,3,1,2,1,0,1,2,0,0,3,2,3,0,5,5,2,6,4,6,5,5,2,2,2,2,2,21,3,26,24,4,0,4,3,Nuclear,2,18-25,0
3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,1,4,1,7,1,7,2,7,1,7,2,1,1,18,3,42,36,40,4,4,4,Nuclear,2,18-25,0
